"shows_names","shows_url"
"Without a Trace","http://www.tv.com/shows/without-a-trace/"
"Terra Nova","http://www.tv.com/shows/terra-nova/"
"The Hills","http://www.tv.com/shows/the-hills/"
"The Boondocks","http://www.tv.com/shows/the-boondocks/"
"Gravity Falls","http://www.tv.com/shows/gravity-falls/"
"Total Drama Island","http://www.tv.com/shows/total-drama-island/"
"Monarch of the Glen","http://www.tv.com/shows/monarch-of-the-glen/"
"Law & Order: UK","http://www.tv.com/shows/law-and-order-uk/"
"Fruits Basket","http://www.tv.com/shows/fruits-basket/"
"Doc McStuffins","http://www.tv.com/shows/doc-mcstuffins/"
"Idaten Jump","http://www.tv.com/shows/idaten-jump/"
"The Millers","http://www.tv.com/shows/the-millers/"
"Last Week Tonight with John Oliver","http://www.tv.com/shows/last-week-tonight-with-john-oliver/"
"Nip/Tuck","http://www.tv.com/shows/niptuck/"
"The Musketeers","http://www.tv.com/shows/the-musketeers/"
"Star Trek: Enterprise","http://www.tv.com/shows/star-trek-enterprise/"
"Baby Daddy","http://www.tv.com/shows/baby-daddy/"
"Doctor Who (1963)","http://www.tv.com/shows/doctor-who/"
"The Ultimate Fighter","http://www.tv.com/shows/the-ultimate-fighter/"
"The A-Team","http://www.tv.com/shows/the-a-team/"
"The Shield","http://www.tv.com/shows/the-shield/"
"SportsCenter","http://www.tv.com/shows/sportscenter/"
"Kitchen Nightmares","http://www.tv.com/shows/kitchen-nightmares/"
"Episodes","http://www.tv.com/shows/episodes/"
"Thomas The Tank Engine & Friends","http://www.tv.com/shows/thomas-the-tank-engine-and-friends/"
"Dallas","http://www.tv.com/shows/dallas-2013/"
"Three's Company","http://www.tv.com/shows/threes-company/"
"The Beverly Hillbillies","http://www.tv.com/shows/the-beverly-hillbillies/"
"Who's the Boss?","http://www.tv.com/shows/whos-the-boss/"
"Red Dwarf","http://www.tv.com/shows/red-dwarf/"
"Jesse Stone","http://www.tv.com/shows/jesse-stone/"
"Wildfire","http://www.tv.com/shows/wildfire/"
"Seven Deadly Sins","http://www.tv.com/shows/seven-deadly-sins/"
"Private Practice","http://www.tv.com/shows/private-practice/"
"Being Human","http://www.tv.com/shows/being-human-2011/"
"Dragon Ball Z Kai","http://www.tv.com/shows/dragonball-z-kai/"
"Misfits","http://www.tv.com/shows/misfits/"
"Duck Dynasty","http://www.tv.com/shows/duck-dynasty/"
"Motive","http://www.tv.com/shows/motive/"
"The Cleveland Show","http://www.tv.com/shows/the-cleveland-show/"
"The Tonight Show with Jay Leno","http://www.tv.com/shows/the-tonight-show-with-jay-leno/"
"American Idol","http://www.tv.com/shows/american-idol/"
"A Haunting","http://www.tv.com/shows/a-haunting/"
"Northern Exposure","http://www.tv.com/shows/northern-exposure/"
"Yu-Gi-Oh! Zexal","http://www.tv.com/shows/yu-gi-oh-zexal/"
"The Suite Life on Deck","http://www.tv.com/shows/the-suite-life-on-deck/"
"Greek","http://www.tv.com/shows/greek/"
"Sister Wives","http://www.tv.com/shows/sister-wives/"
"The Jeffersons","http://www.tv.com/shows/the-jeffersons/"
"Even Stevens","http://www.tv.com/shows/even-stevens/"
"Wagon Train","http://www.tv.com/shows/wagon-train/"
"The ABC Afterschool Special","http://www.tv.com/shows/the-abc-afterschool-special/"
"Mom","http://www.tv.com/shows/mom/"
"Nathan For You","http://www.tv.com/shows/nathan-for-you/"
"Anthony Bourdain: No Reservations","http://www.tv.com/shows/anthony-bourdain-no-reservations/"
"Love It or List It, Too","http://www.tv.com/shows/love-it-or-list-it-too/"
"Mountain Monsters","http://www.tv.com/shows/mountain-monsters/"
"Big Time Rush","http://www.tv.com/shows/big-time-rush/"
"Eureka","http://www.tv.com/shows/eureka/"
"The Tudors","http://www.tv.com/shows/the-tudors/"
"Workaholics","http://www.tv.com/shows/workaholics/"
"Wipeout","http://www.tv.com/shows/wipeout/"
"Crossing Jordan","http://www.tv.com/shows/crossing-jordan/"
"Third Watch","http://www.tv.com/shows/third-watch/"
"Supernanny","http://www.tv.com/shows/supernanny/"
"The Steve Wilkos Show","http://www.tv.com/shows/the-steve-wilkos-show/"
"E! True Hollywood Story","http://www.tv.com/shows/e-true-hollywood-story/"
"Penn & Teller: Bullshit!","http://www.tv.com/shows/penn-teller-bullshit/"
"Alias Smith and Jones","http://www.tv.com/shows/alias-smith-and-jones/"
"Bizarre","http://www.tv.com/shows/bizarre/"
"Oz","http://www.tv.com/shows/oz/"
"Untold Stories Of The E.R.","http://www.tv.com/shows/untold-stories-of-the-er/"
"Mom","http://www.tv.com/shows/mom/"
"Dog the Bounty Hunter","http://www.tv.com/shows/dog-the-bounty-hunter/"
"Top Chef","http://www.tv.com/shows/top-chef/"
"21 Jump Street","http://www.tv.com/shows/21-jump-street/"
"Ask This Old House","http://www.tv.com/shows/ask-this-old-house/"
"Anthony Bourdain: No Reservations","http://www.tv.com/shows/anthony-bourdain-no-reservations/"
"My Super Sweet 16","http://www.tv.com/shows/my-super-sweet-16/"
"Foster's Home for Imaginary Friends","http://www.tv.com/shows/fosters-home-for-imaginary-friends/"
"Roswell","http://www.tv.com/shows/roswell/"
"Overhaulin'","http://www.tv.com/shows/overhaulin/"
