"Period","Category","Name","User_Rating","User_Votes","Year_Started","Show_url","sq","Rating"
"2001-2010","Comedy","Total Drama Island",8.4,1072,2007,"http://www.tv.com/shows/total-drama-island/",0.410371954270652,"Popular"
"2001-2010","Comedy","The Boondocks",8.8,3596,2005,"http://www.tv.com/shows/the-boondocks/",1.44213512998667,"Popular"
"2001-2010","Arts","So You Think You Can Dance",8.2,2400,2005,"http://www.tv.com/shows/so-you-think-you-can-dance/",0.896868343555263,"Popular"
"2001-2010","Animation","Back at the Barnyard",6.9,350,2009,"http://www.tv.com/shows/back-at-the-barnyard/",0.110057776914937,"Not so much !!"
"2001-2010","Fantasy","Naruto Shippuden",7.3,1359,2007,"http://www.tv.com/shows/naruto-shippuden/",0.452111878857149,"Popular"
"2001-2010","Suspense","The Inspector Lynley Mysteries",8.2,162,2002,"http://www.tv.com/shows/the-inspector-lynley-mysteries/",0.0605386131899802,"Not so much !!"
"2001-2010","Reality","Scare Tactics",8.3,545,2003,"http://www.tv.com/shows/scare-tactics/",0.206147558540256,"Not so much !!"
"2001-2010","Drama","The Inspector Lynley Mysteries",8.2,162,2002,"http://www.tv.com/shows/the-inspector-lynley-mysteries/",0.0605386131899802,"Not so much !!"
"2001-2010","Health & Lifestyle","Dog Whisperer",8.7,381,2003,"http://www.tv.com/shows/dog-whisperer/",0.151059425730825,"Not so much !!"
"2001-2010","Science","Living With the Wolfman",9.1,8,2008,"http://www.tv.com/shows/living-with-the-wolfman/",0.00331768370989955,"Not so much !!"
"2001-2010","Drama","Keeping Up with the Kardashians",6.1,477,2007,"http://www.tv.com/shows/keeping-up-with-the-kardashians/",0.132602531465587,"Not so much !!"
"2001-2010","Health & Lifestyle","Say Yes to the Dress: Atlanta",5.3,12,2010,"http://www.tv.com/shows/say-yes-to-the-dress-atlanta/",0.00289841598831884,"Not so much !!"
"2001-2010","Science","Black Ops Brothers: Howe & Howe Tech",0,0,2010,"http://www.tv.com/shows/black-ops-brothers-howe-and-howe-tech/",0,"Not so much !!"
"2001-2010","Drama","White Collar",8.4,3448,2009,"http://www.tv.com/shows/white-collar/",1.31992770366157,"Popular"
"2001-2010","Suspense","White Collar",8.4,3448,2009,"http://www.tv.com/shows/white-collar/",1.31992770366157,"Popular"
"2001-2010","Animation","The Boondocks",8.8,3596,2005,"http://www.tv.com/shows/the-boondocks/",1.44213512998667,"Popular"
"2001-2010","Sports","American Ninja Warrior",7.3,28,2009,"http://www.tv.com/shows/american-ninja-warrior/",0.00931503503164104,"Not so much !!"
"2001-2010","Music","Australian Idol",6.4,168,2003,"http://www.tv.com/shows/australian-idol/",0.0489996363308241,"Not so much !!"
"2001-2010","Animation","Hayate no Gotoku!",9,78,2007,"http://www.tv.com/shows/hayate-no-gotoku/",0.0319919500597457,"Not so much !!"
